SUS,Percievable,Operable,Understandable,Robust,Flexibility,Recall,recognition,Errors,Hints,Trials before mastery,Times,Task Completetion 
90,3.25,4.5,4.333333333,3,3,0.75,0.75,0,0,1,4,1
82.5,3.75,5,4.666666667,3,1,1,0.666666667,0,0,1,9,1
82.5,4.5,5,4.333333333,3,5,1,1,4,0,2,11,0
87.5,4,5,4.333333333,3,2.5,1,1,0,0,1,9,1
87.5,4.25,5,4.333333333,3,2.5,1,1,0,0,1,8,1
90,4.25,4.5,4.333333333,3,4,1,1,6,2,3,20,1
87.5,4.5,4.5,4.666666667,3,3.5,0.5,1,9,1,2,31,1
90,4.5,5,5,3,3,0.8,0.8,2,1,3,6,0
87.5,4.5,5,5,3,3,0.75,1,2,1,2,3,1
92.5,4.5,5,5,3,3,1,0.666666667,1,0,2,10,0
92.5,4.5,5,5,3,3.5,1,1,0,0,1,12,1
95,4.5,5,5,3,3,1,1,0,0,1,9,1
87.5,4.5,5,5,3,3.5,1,1,0,0,1,9,1
100,4.5,5,5,3,3,0.833333333,1,3,1,3,29,1
85,4.5,5,4.333333333,3,3,1,1,5,1,2,39,1
90,4,5,4.666666667,3,1,0.8,1,3,1,2,14,1
100,4.5,5,4.666666667,3,1,0.75,1,0,0,1,10,1
100,4.25,5,5,3,1,1,1,0,0,1,14,1
100,4.5,5,5,3,1,1,1,0,0,1,18,1
100,4.5,5,5,3,1,1,1,2,0,2,17,1
100,4.25,5,5,3,1,1,1,0,0,1,11,1
92.5,4,4,4.666666667,5,3,1,1,3,1,2,21,1
97.5,4.5,3.5,4,5,4,1,1,7,0,2,35,1
92.5,4.5,5,4.666666667,5,3,1,1,1,0,2,10,1
100,4.5,4,4.666666667,5,4,1,1,0,0,1,8,1
100,4,4.5,4.666666667,5,3.5,1,1,0,0,1,13,1
100,4.5,4.5,4.666666667,5,4.5,1,1,0,0,1,16,1
100,4.5,5,4.666666667,5,4,1,1,0,0,1,9,1
100,4.5,4.5,4.666666667,5,4.5,1,1,0,0,1,9,1
87.5,4,4,4.333333333,4,4,1,1,2,0,2,14,1
72.5,3.75,4,4,3,4,1,1,4,1,2,20,1
85,4,4,4,4,4,1,1,0,0,1,3,1
92.5,4,4,4,4,4,1,1,0,0,1,3,1
90,5,5,4.666666667,5,4,1,1,0,0,1,13,1
82.5,4,4,4,4,4,1,1,0,0,1,12,1
87.5,4,5,4.333333333,4,4,1,1,0,0,1,8,1
87.5,4.5,4.5,4.333333333,4,4,1,1,0,0,1,4,1
77.5,4.5,4.5,4,3,3.5,1,1,3,1,2,28,1
60,4.25,4.5,4,3,3,1,1,7,0,2,26,1
82.5,4.5,5,3.666666667,3,3.5,1,1,0,0,1,5,1
90,4.5,4.5,4,3,3.5,1,1,3,0,2,3,1
90,4.5,5,5,3,5,1,1,0,0,1,9,1
92.5,4.5,5,5,3,3.5,1,1,2,0,2,15,0
90,4.5,5,5,3,4,1,1,0,0,1,7,1
90,4.5,5,5,3,4,1,1,0,0,1,7,1
50,4.25,3,2,3,2,0.833333333,1,5,0,2,24,1
25,2,3,2,3,4,0.5,0.5,14,1,2,25,1
40,3,2.5,2,3,3,0.6,0.8,0,0,1,11,1
60,3.75,4,4,3,3,0.75,1,0,0,1,4,1
65,3.75,4,4,3,4,0.666666667,0.666666667,0,0,1,15,1
57.5,3.5,4,2.333333333,3,4,1,1,0,0,1,25,1
70,3.75,4,4,3,3,1,1,0,0,1,9,1
55,3.25,4,4,3,4,1,1,0,0,1,8,1
87.5,5,4.5,3.666666667,5,3,0.833333333,1,1,0,2,28,1
20,5,3.5,3,5,4,0.5,1,4,0,2,30,1
95,5,5,5,5,5,0.8,1,0,0,1,12,1
97.5,5,5,5,5,5,0.75,1,0,0,1,5,1
100,5,5,5,5,5,1,1,0,0,1,14,1
100,5,5,5,5,5,1,1,1,1,2,9,0
100,5,5,5,5,5,1,1,1,0,2,6,1
100,5,5,5,5,5,1,1,0,0,1,7,1
90,4.5,4,4.333333333,3,2.5,0.833333333,1,3,1,2,31,1
85,4,5,4.333333333,3,5,1,1,2,0,2,41,1
95,4,5,4.666666667,3,5,0.8,0.8,0,0,1,15,1
97.5,4,5,4.666666667,3,4,0.75,0.75,0,0,1,9,1
97.5,4.25,5,4.666666667,4,4.5,1,1,0,0,1,22,1
77.5,3,4.5,2.666666667,3,3.5,0.8,1,3,1,2,20,0
97.5,4.25,5,4,3,4,0.75,1,0,0,1,11,1
95,4,5,4.666666667,3,4,0.666666667,1,1,1,2,12,0
100,5,5,5,5,5,0.833333333,1,1,0,2,30,1
97.5,4,5,5,5,5,1,1,4,0,2,26,1
100,5,5,5,5,5,1,1,0,0,1,7,1
100,5,5,5,5,5,1,1,0,0,1,4,1
100,5,5,5,5,5,1,1,0,0,1,10,1
97.5,5,5,4.666666667,5,5,1,1,2,0,2,13,0
100,5,5,5,5,5,1,1,0,0,1,8,1
100,5,5,5,5,5,1,1,0,0,1,7,1
97.5,4.5,5,4.666666667,3,4.5,1,1,4,1,2,18,1
92.5,4.5,5,4.333333333,3,5,0.5,1,6,2,2,24,1
92.5,4.5,5,4.333333333,3,5,1,0.8,0,0,1,11,1
92.5,4.5,5,4.666666667,3,5,1,1,3,0,2,4,1
95,4.5,5,4.666666667,3,5,1,0.666666667,0,0,1,11,1
92.5,4.5,5,4.666666667,3,5,1,1,0,0,1,15,1
97.5,4.5,5,5,3,5,1,1,0,0,1,8,1
97.5,4.5,5,5,3,5,1,1,0,0,1,8,1
80,5,4,3.666666667,5,2.5,0.833333333,1,2,0,2,15,1
90,4,5,4.333333333,5,4.5,1,1,0,0,1,25,1
85,4,5,4.666666667,5,3.5,0.8,1,0,0,1,11,1
95,4.25,5,4.666666667,5,4,0.75,1,2,0,2,5,1
95,4.5,5,4.666666667,5,3,1,1,0,0,1,11,1
77.5,4.75,4.5,4.333333333,5,2.5,1,1,0,0,1,18,1
90,4.75,5,4.333333333,5,3.5,1,1,0,0,1,12,1
90,4.5,5,4.333333333,5,3,1,1,0,0,1,6,1
